primary_key,skosxl_literalForm,labelOf,type
62eb5840-c7fd-4965-b080-b69aa57f71ae,Cornelius Marinus van der Sande Lacoste,http://www.tropicos.org/Person/10766,prefLabel
1be0ca20-0e29-412a-9092-e41b1a40b272,C.M. van der Sande Lacoste,http://www.tropicos.org/Person/10766,altLabel
7621ed07-c3a7-41f2-985a-8fc6c3bc69e9,C. M. v. d. Sande Lacoste,http://www.tropicos.org/Person/10766,altLabel
fc83f9e5-0b8e-4e8d-8393-0eb6eb163bab,Sande Lac.,http://www.tropicos.org/Person/10766,altLabel
d7fe9f2c-2898-4b8c-afe7-7424cbdf58af,Johann Karl (Carl) August (Friedrich Wilhelm) Müller,http://www.tropicos.org/Person/2,altLabel
9d5b5968-b24f-461e-8e74-02f1eb432722,Müll. Hal.,http://www.tropicos.org/Person/2,altLabel
276ca214-15ea-41db-b2f8-6238c39e532f,C. Müller Hal.,http://www.tropicos.org/Person/2,altLabel
697b823b-a043-4161-9c46-3b05294ae50d,C. Müller,http://www.tropicos.org/Person/2,altLabel
f2d1ac33-8ff0-4545-a8af-c3afd2edfa62,Carl Müller,http://www.tropicos.org/Person/2,prefLabel
d0e968ee-6d64-4cee-808c-47eff460d616,Bosch,http://www.tropicos.org/Person/960,altLabel
37589c1d-1cd8-49c8-b7b3-026139579e60,Roelof Benjamin van den Bosch,http://www.tropicos.org/Person/960,prefLabel
66c29209-c435-49b9-b6be-9c47b7ca20c9,R. B. Bosch,http://www.tropicos.org/Person/960,altLabel
07208fe2-0454-4352-adb9-9446bfa03d77,Jean Édouard Gabriel Narcisse Paris,http://www.tropicos.org/Person/2011,prefLabel
1c3c3744-53a3-4596-975a-f62657d6dd20,J. É. G. N. Paris,http://www.tropicos.org/Person/2011,altLabel
cc3be790-5010-4192-b7f7-ef9c1a15fb3d,Paris,http://www.tropicos.org/Person/2011,altLabel
c782eb1c-c3a5-46e2-9344-b4fd3dc6b78d,"Paris, Jean Édouard Gabriel Narcisse",http://www.tropicos.org/Person/2011,altLabel
